Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C13, C14, C3, C4, C5, C6, C7",0402,9,100nF,
"C10, C2, C8, C9",0603,4,10uF,
C11,0805,1,22uF,
C15,0402,1,1uF,
"D1, D2, D3",0805,3,LED,
"J1, J3",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,2,B2B-PH-K-S(LF)(SN),
J2,SHOUHAN_TYPE-C_16PIN_2MD__073_,1,C393939,
MICRO_SD1,TF-01A,1,C91145,
"R1, R11, R2",0402,3,10k,
"R10, R7",0402,2,5k1,
"R3, R4",0402,2,4k7,
R5,0603,1,330,
"R8, R9",0603,2,220,
S1,SW_KMR221GLFS,1,KMR221GLFS,
SW1,SW-SMD_SSSS810701,1,SSSS810701,
U1,XDCR_BMP280,1,BMP280,
U2,ESP32-S2-MINI-1U,1,ESP32-S3-MINI-1U-N8,
U3,XDCR_LSM6DSO32TR,1,LSM6DSO32TR,
U4,SOT230P700X180-4N,1,LD1117S33TR,
U5,SHT4X,1,SHT40-AD1B-R3,
U6,SON95P300X300X100-7N,1,LD39200PU33R,
U7,QFN50P300X300X80-17N,1,MAX98357AETE_T,
